title,text,label
"Trump Claims Victory","Donald Trump declared victory before all votes were counted.",FAKE
"NASA Discovers Water","NASA scientists found evidence of liquid water on Mars.",REAL
"Bill Gates Arrested","Bill Gates was arrested by the FBI for unknown reasons.",FAKE
"COVID-19 Vaccine Success","Pfizer announces 95% effectiveness of COVID-19 vaccine.",REAL
"Aliens Confirmed","The Pentagon released footage confirming alien life.",FAKE
"India Launches Satellite","ISRO successfully launched a communication satellite.",REAL
"Hollywood Star Dead","Famous Hollywood actor dies under mysterious circumstances.",FAKE
"Budget 2025 Released","The Finance Minister announced the new budget today.",REAL
"Facebook Bans Oxygen","Facebook bans the word 'oxygen' citing misinformation spread.",FAKE
"Google AI Breakthrough","Google’s new AI model can translate speech in real time.",REAL
"Moon Landing Hoax","Scientists admit moon landing was staged.",FAKE
"Global Warming Data","UN reports rise in sea levels due to global warming.",REAL
"Vaccines Have Chips","Vaccines contain microchips to track people.",FAKE
"New Cancer Treatment","Researchers develop promising new cancer drug.",REAL
"Zombie Virus Outbreak","CDC confirms a zombie virus is spreading in Canada.",FAKE
"Electric Cars Rising","Tesla leads the surge in electric vehicle sales.",REAL
"Apple CEO Resigns","Tim Cook steps down amidst controversy.",FAKE
"Stock Market Rebounds","Stock market shows signs of recovery after dip.",REAL
"5G Causes COVID","5G technology is spreading coronavirus, claims blog.",FAKE
"Olympics 2028 Announced","Los Angeles to host the 2028 Summer Olympics.",REAL
